scenario	label	fisher_saved	dali_saved	dali_samples_saved	case_dir
baseline	baseline_lens3_source5_z0p3_0p9	True	False	False	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/baseline_lens3_source5_z0p3_0p9
low_z_baseline	low_z_baseline_lens3_source5_z0p1_0p8	True	False	False	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/low_z_baseline_lens3_source5_z0p1_0p8
high_z_baseline	high_z_baseline_lens3_source5_z0p5_1p1	True	False	False	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/high_z_baseline_lens3_source5_z0p5_1p1
wide_z_baseline	wide_z_baseline_lens3_source5_z0p1_1	True	False	False	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/wide_z_baseline_lens3_source5_z0p1_1
coarse_low_z	coarse_low_z_lens2_source4_z0p1_0p8	True	False	False	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/coarse_low_z_lens2_source4_z0p1_0p8
coarse_wide_z	coarse_wide_z_lens2_source4_z0p1_1	True	False	False	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/coarse_wide_z_lens2_source4_z0p1_1
fine_mid_z	fine_mid_z_lens5_source6_z0p3_0p9	True	False	False	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/fine_mid_z_lens5_source6_z0p3_0p9
fine_wide_z	fine_wide_z_lens5_source6_z0p1_1	True	False	False	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/fine_wide_z_lens5_source6_z0p1_1
stress_mid_z	stress_mid_z_lens6_source7_z0p3_0p9	True	False	False	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/stress_mid_z_lens6_source7_z0p3_0p9
stress_wide_z	stress_wide_z_lens6_source7_z0p1_1	True	False	False	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/stress_wide_z_lens6_source7_z0p1_1
