scenario	total_snr	total_snr2	n_pairs	snr_per_pair	mean_pair_snr	median_pair_snr	max_pair_snr	max_radius_snr	radius_at_max_snr	final_cumulative_snr	fisher_valid	fisher_sigma_omega_m	fisher_sigma8_error	fisher_corr_omega_m_sigma8	fisher_omega_m_sigma8_fom	fisher_fisher_condition_number	fisher_with_priors_valid	fisher_with_priors_sigma_omega_m	fisher_with_priors_sigma8_error	fisher_with_priors_corr_omega_m_sigma8	fisher_with_priors_omega_m_sigma8_fom	fisher_with_priors_fisher_condition_number
stress_wide_z_lens6_source7_z0p1_1	83.43577945667364	6961.529293542683	19	4.391356813509139	18.06834019239875	18.77484776294518	28.22599582229211	66.88830352601123	10.0	83.43577945667364	True	0.018043265620919697	0.22915775832392155	-0.6435024334999724	315.9634386649841	529281.5885805016	True	0.015249532765092255	0.12067091498488708	-0.44529886586439665	606.9214670881012	12976.127280850407
fine_wide_z_lens5_source6_z0p1_1	79.05390475342485	6249.519856763567	13	6.081069596417295	20.756127299700005	20.618444541712048	31.456330685972564	64.46303274992843	10.0	79.05390475342485	True	0.019168230411796768	0.24107819368093514	-0.6361580817613091	280.472995427505	565930.8333121297	True	0.016172021843635538	0.12225420535729747	-0.432835443484902	561.0727469608663	11725.215145182063
stress_mid_z_lens6_source7_z0p3_0p9	75.67212919461284	5726.271136846177	18	4.204007177478491	17.50411756375059	17.040126838219237	23.074110419184507	60.08968999873242	10.0	75.67212919461284	True	0.01957050985582346	0.2544680460750904	-0.6297854818977987	258.50720940067873	1695292.5142541062	True	0.016448623565491736	0.1237135374987976	-0.42827434729443803	543.817971265088	10159.971487087721
wide_z_baseline_lens3_source5_z0p1_1	74.93635201655437	5615.456853548951	6	12.489392002759061	29.56247256802277	28.47550051663924	40.38658074750969	61.80911541876635	10.0	74.93635201655437	True	0.02026060662259775	0.25357969637868116	-0.6287576278593886	250.30877639917063	1064413.9955944738	True	0.017063532854194013	0.12368857056501349	-0.42268431978820026	522.8059569262673	10350.02754383511
fine_mid_z_lens5_source6_z0p3_0p9	71.6396177450154	5132.234830651925	12	5.96996814541795	20.392650861122952	19.93308898197337	25.733497501680468	57.97296769577351	10.0	71.6396177450154	True	0.02094926534161918	0.267671138280081	-0.6254655972374173	228.55720037253576	1931586.7800293658	True	0.01754608086628914	0.12522386036361083	-0.41880582830492896	501.1995568005711	9289.236579859398
coarse_wide_z_lens2_source4_z0p1_1	69.16150479892393	4783.313746051577	3	23.05383493297464	39.18718099933609	34.91585456485642	49.95539707661008	57.9073190247109	10.0	69.16150479892393	True	0.022077980247370448	0.2937649580820541	-0.5629901090655967	186.5593078970691	10030671.673423601	True	0.018503465968887158	0.12596350870788092	-0.40846442356313223	470.0442987809773	8706.270691530419
baseline_lens3_source5_z0p3_0p9	68.13257133984317	4642.047277378819	6	11.355428556640527	27.507503746347314	26.67282691207793	33.4610810981386	55.95076249798203	10.0	68.13257133984317	True	0.022212129145822893	0.28198944931846504	-0.6189994560632718	203.27819764973648	2820671.0106361196	True	0.018549274231287355	0.1265772874481419	-0.4101405268642299	466.9945554136007	8452.599764599925
low_z_baseline_lens3_source5_z0p1_0p8	65.3259628702608	4267.481424926693	7	9.332280410037257	23.415015724739977	20.532558449030525	36.238274649114835	55.25341475896019	10.0	65.3259628702608	True	0.024536935181256356	0.2963733906065795	-0.6168921748095988	174.71871812692686	2209552.756017344	True	0.02031364870583893	0.12813415260842684	-0.40921222089527737	421.0592468197534	9116.240967710302
high_z_baseline_lens3_source5_z0p5_1p1	60.6291134791008	3675.8894012616825	4	15.1572783697752	30.16913476092852	30.69794566194674	33.4610810981386	48.47422435219132	10.0	60.6291134791008	True	0.023360474782582116	0.3225493001727704	-0.6190772090913238	168.99348895823456	3548862.5501142214	True	0.01934064627062556	0.1297983301794655	-0.3789363849231567	430.4470675967677	5345.611988052158
coarse_low_z_lens2_source4_z0p1_0p8	58.33027012346126	3402.4204126759573	3	19.443423374487086	32.59086712194347	29.720584863925453	44.11483308426165	50.59368581326151	10.0	58.33027012346126	True	0.02762223213554738	0.40875108491935147	-0.45898669115102103	99.69024683712973	15930740.14341342	True	0.022853113912502283	0.13084279915561178	-0.38895377834146705	363.0144065976538	7065.567425639609
