scenario	label	run_name	snr	snr2	n_pairs	run_dir
baseline	Fiducial: mid-$z$ (3L/5S, 0.3 < z_l < 0.9)	baseline_lens3_source5_z0p3_0p9	6.81325713e+01	4.64204728e+03	6	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/baseline_lens3_source5_z0p3_0p9
low_z_baseline	Fiducial: low-$z$ (3L/5S, 0.1 < z_l < 0.8)	low_z_baseline_lens3_source5_z0p1_0p8	6.53259629e+01	4.26748142e+03	7	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/low_z_baseline_lens3_source5_z0p1_0p8
high_z_baseline	Fiducial: high-$z$ (3L/5S, 0.5 < z_l < 1.1)	high_z_baseline_lens3_source5_z0p5_1p1	6.06291135e+01	3.67588940e+03	4	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/high_z_baseline_lens3_source5_z0p5_1p1
wide_z_baseline	Fiducial: wide-$z$ (3L/5S, 0.1 < z_l < 1)	wide_z_baseline_lens3_source5_z0p1_1	7.49363520e+01	5.61545685e+03	6	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/wide_z_baseline_lens3_source5_z0p1_1
coarse_low_z	Coarse: low-$z$ (2L/4S, 0.1 < z_l < 0.8)	coarse_low_z_lens2_source4_z0p1_0p8	5.83302701e+01	3.40242041e+03	3	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/coarse_low_z_lens2_source4_z0p1_0p8
coarse_wide_z	Coarse: wide-$z$ (2L/4S, 0.1 < z_l < 1)	coarse_wide_z_lens2_source4_z0p1_1	6.91615048e+01	4.78331375e+03	3	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/coarse_wide_z_lens2_source4_z0p1_1
fine_mid_z	Fine: mid-$z$ (5L/6S, 0.3 < z_l < 0.9)	fine_mid_z_lens5_source6_z0p3_0p9	7.16396177e+01	5.13223483e+03	12	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/fine_mid_z_lens5_source6_z0p3_0p9
fine_wide_z	Fine: wide-$z$ (5L/6S, 0.1 < z_l < 1)	fine_wide_z_lens5_source6_z0p1_1	7.90539048e+01	6.24951986e+03	13	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/fine_wide_z_lens5_source6_z0p1_1
stress_mid_z	Stress: mid-$z$ (6L/7S, 0.3 < z_l < 0.9)	stress_mid_z_lens6_source7_z0p3_0p9	7.56721292e+01	5.72627114e+03	18	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/stress_mid_z_lens6_source7_z0p3_0p9
stress_wide_z	Stress: wide-$z$ (6L/7S, 0.1 < z_l < 1)	stress_wide_z_lens6_source7_z0p1_1	8.34357795e+01	6.96152929e+03	19	/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/stress_wide_z_lens6_source7_z0p1_1
